Record_ID,Employee_ID,Division,AI_Training_Track,Baseline_Skill_Score,Post_Training_Skill_Score,AI_Tool_Class,Use_Case_Name,Academic_Partner,Collaboration_Program,Implementation_Stage,Efficiency_Gain_Pct,Estimated_Value_AED,Adoption_Rate_Pct
REC-0040,EMP-13890,Finance,Deep Technical & LLMOps,51.1,91.8,Predictive Machine Learning,Supplier Risk Analysis,None,None,Development,13.1,14800.0,0.8
REC-0041,EMP-51606,Business Development & Execution,AI for Leaders,35.6,62.8,Generative AI (LLMs),AI Bid Evaluator,None,None,Development,11.7,22500.0,18.7
REC-0042,EMP-90038,Power & Water Planning,AI for Leaders,46.1,84.3,Predictive Machine Learning,Smart Load Forecasting,None,None,Optimizing,36.8,160900.0,93.5
REC-0043,EMP-97313,Business Development & Execution,AI for Leaders,38.1,99.3,Generative AI (LLMs),AI Bid Evaluator,None,None,UAT & Testing,21.3,85600.0,62.7
REC-0044,EMP-20627,Water & Civil,AI Literacy,16.5,55.8,Computer Vision,Structural Crack Inspection,None,None,Development,16.9,43300.0,25.6
REC-0045,EMP-18792,Finance,AI for Leaders,10.0,64.7,Agentic AI Workflows,Automated Audit Reconciliation,MBZUAI,Joint R&D Lab,UAT & Testing,23.3,153900.0,51.8
REC-0046,EMP-83969,Business Development & Execution,Deep Technical & LLMOps,12.9,79.1,Generative AI (LLMs),AI Bid Evaluator,None,None,Development,8.5,8500.0,42.9
REC-0047,EMP-53001,Water & Civil,AI Literacy,11.5,72.4,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Ideation,4.7,8800.0,0.0
REC-0048,EMP-86552,Water & Civil,AI for Leaders,31.8,97.4,Computer Vision,Reservoir Volumetric AI,MBZUAI,Sponsored Capstone,Ideation,4.8,12200.0,0.0
REC-0049,EMP-33897,Transmission Power,Deep Technical & LLMOps,20.4,90.5,Computer Vision,Thermal Substations Inspection,None,None,Optimizing,34.6,114100.0,76.4
REC-0050,EMP-78148,Transmission Power,Deep Technical & LLMOps,10.0,82.4,Computer Vision,Insulator Wear Classifier,RIT Dubai,Sponsored Capstone,Fully Deployed,38.5,137800.0,76.1
REC-0051,EMP-33483,Distribution Power,Deep Technical & LLMOps,12.5,45.8,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Fully Deployed,33.7,268400.0,90.4
REC-0052,EMP-58555,Transmission Power,Deep Technical & LLMOps,10.0,78.7,Computer Vision,Thermal Substations Inspection,None,None,Optimizing,35.5,155600.0,91.3
REC-0053,EMP-27159,I&TF,Deep Technical & LLMOps,10.0,88.0,Generative AI (LLMs),Agentic IT Helpdesk,MBZUAI,Joint R&D Lab,Optimizing,25.2,818900.0,98.4
REC-0054,EMP-90077,Billing,AI Literacy,53.4,88.9,Predictive Machine Learning,Billing Anomaly Detection,None,None,Fully Deployed,29.2,253500.0,86.4
REC-0055,EMP-45920,Finance,AI for Leaders,10.0,64.3,Predictive Machine Learning,Supplier Risk Analysis,RIT Dubai,Reverse Hackathon,Fully Deployed,20.5,146600.0,71.6
REC-0056,EMP-77121,Water & Civil,AI Literacy,50.7,88.1,Computer Vision,Structural Crack Inspection,None,None,Development,13.3,59100.0,10.9
REC-0057,EMP-79479,Legal Affairs,AI for Leaders,19.8,80.6,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,Ideation,6.7,17900.0,0.0
REC-0058,EMP-99475,Distribution Power,AI for Leaders,31.6,69.9,Agentic AI Workflows,LV Power Restoration,RIT Dubai,Reverse Hackathon,UAT & Testing,14.7,304100.0,68.9
REC-0059,EMP-29457,Finance,AI Literacy,10.0,90.6,Agentic AI Workflows,Invoice Matcher Agent,MBZUAI,Reverse Hackathon,UAT & Testing,20.6,202100.0,25.2
REC-0060,EMP-76557,I&TF,Deep Technical & LLMOps,21.8,69.2,Agentic AI Workflows,Cognitive Cyber Defense,MBZUAI,Reverse Hackathon,Optimizing,31.4,223400.0,99.3
REC-0061,EMP-87189,Legal Affairs,Deep Technical & LLMOps,50.8,89.0,Generative AI (LLMs),Contract Compliance Parser,None,None,UAT & Testing,26.8,44100.0,31.9
REC-0062,EMP-88953,Water & Civil,AI for Leaders,45.8,77.6,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Fully Deployed,26.6,165100.0,91.2
REC-0063,EMP-62995,Distribution Power,AI for Leaders,21.8,95.7,Agentic AI Workflows,LV Power Restoration,MBZUAI,Sponsored Capstone,UAT & Testing,23.7,125500.0,68.6
REC-0064,EMP-50757,I&TF,Deep Technical & LLMOps,18.6,66.0,Generative AI (LLMs),AI Developer Copilot,MBZUAI,Joint R&D Lab,Development,15.4,73600.0,18.9
REC-0065,EMP-19692,Distribution Power,AI Literacy,22.2,62.6,Agentic AI Workflows,SCADA Fault Routing,MBZUAI,Joint R&D Lab,UAT & Testing,19.2,43900.0,37.2
REC-0066,EMP-55758,Power & Water Planning,Deep Technical & LLMOps,28.9,75.9,Predictive Machine Learning,Digital Twin Simulation,None,None,UAT & Testing,21.2,142500.0,33.4
REC-0067,EMP-82409,Business Development & Execution,AI Literacy,54.1,81.3,Generative AI (LLMs),AI Bid Evaluator,None,None,UAT & Testing,24.3,149800.0,27.5
REC-0068,EMP-81211,Legal Affairs,Deep Technical & LLMOps,12.5,94.2,Generative AI (LLMs),Contract Compliance Parser,MBZUAI,Reverse Hackathon,UAT & Testing,15.6,30000.0,45.1
REC-0069,EMP-75697,Distribution Power,AI Literacy,11.5,65.2,Agentic AI Workflows,SCADA Fault Routing,None,None,Development,10.7,15100.0,11.3
REC-0070,EMP-47065,Transmission Power,Deep Technical & LLMOps,16.7,98.2,Computer Vision,Thermal Substations Inspection,MBZUAI,Joint R&D Lab,UAT & Testing,20.7,193200.0,18.7
REC-0071,EMP-42606,Legal Affairs,Deep Technical & LLMOps,10.0,74.2,Generative AI (LLMs),Contract Compliance Parser,None,None,Fully Deployed,44.4,59800.0,55.4
REC-0072,EMP-21534,Transmission Power,AI Literacy,33.6,91.2,Computer Vision,Thermal Substations Inspection,None,None,UAT & Testing,18.4,270200.0,42.0
REC-0073,EMP-50397,Water & Civil,AI Literacy,10.0,67.5,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,UAT & Testing,18.9,63200.0,39.3
REC-0074,EMP-11016,Distribution Power,Deep Technical & LLMOps,55.6,96.8,Agentic AI Workflows,LV Power Restoration,None,None,Ideation,8.1,13400.0,0.0
REC-0075,EMP-99789,Distribution Power,AI for Leaders,22.5,87.4,Agentic AI Workflows,SCADA Fault Routing,None,None,Development,14.0,51700.0,15.4
REC-0076,EMP-65591,I&TF,Deep Technical & LLMOps,33.9,75.2,Agentic AI Workflows,Cognitive Cyber Defense,None,None,Development,18.5,22300.0,13.6
REC-0077,EMP-99812,Transmission Power,Deep Technical & LLMOps,10.0,97.3,Computer Vision,Overhead Line Monitoring,None,None,UAT & Testing,24.4,240200.0,48.6
REC-0078,EMP-33247,Legal Affairs,AI Literacy,35.9,78.4,Generative AI (LLMs),Regulatory Risk Analyzer,RIT Dubai,Sponsored Capstone,UAT & Testing,19.4,63200.0,27.4
REC-0079,EMP-34300,Legal Affairs,AI Literacy,28.8,78.1,Generative AI (LLMs),Regulatory Risk Analyzer,RIT Dubai,Reverse Hackathon,Fully Deployed,30.3,124200.0,78.9
REC-0080,EMP-84065,I&TF,AI Literacy,31.0,88.7,Agentic AI Workflows,Cognitive Cyber Defense,RIT Dubai,Sponsored Capstone,Development,9.5,8100.0,3.5
REC-0081,EMP-92798,Power & Water Planning,Deep Technical & LLMOps,19.2,72.9,Predictive Machine Learning,Grid Expansion Planner,None,None,Ideation,2.4,5000.0,0.0
REC-0082,EMP-19268,Legal Affairs,AI Literacy,40.1,64.5,Generative AI (LLMs),NDA Auto-Review Agent,MBZUAI,Sponsored Capstone,UAT & Testing,21.4,194600.0,46.8
REC-0083,EMP-96807,Business Development & Execution,AI for Leaders,10.0,98.3,Generative AI (LLMs),AI Procurement Sandbox,RIT Dubai,Sponsored Capstone,UAT & Testing,22.5,78600.0,46.7
REC-0084,EMP-22185,Water & Civil,AI for Leaders,28.9,70.4,Computer Vision,Reservoir Volumetric AI,None,None,UAT & Testing,23.0,49400.0,48.1
REC-0085,EMP-73704,Legal Affairs,AI for Leaders,10.0,54.8,Generative AI (LLMs),Regulatory Risk Analyzer,RIT Dubai,Sponsored Capstone,Fully Deployed,31.3,75100.0,51.2
REC-0086,EMP-96779,Business Development & Execution,Deep Technical & LLMOps,10.0,88.1,Generative AI (LLMs),AI Bid Evaluator,None,None,Fully Deployed,43.6,183700.0,91.2
REC-0087,EMP-49099,I&TF,Deep Technical & LLMOps,50.5,89.1,Generative AI (LLMs),Agentic IT Helpdesk,None,None,Ideation,2.3,27100.0,0.0
REC-0088,EMP-18571,Distribution Power,AI for Leaders,12.5,78.3,Agentic AI Workflows,SCADA Fault Routing,None,None,Optimizing,23.2,94500.0,95.8
REC-0089,EMP-48044,Finance,Deep Technical & LLMOps,10.0,83.8,Agentic AI Workflows,Invoice Matcher Agent,None,None,Ideation,3.4,23700.0,0.0
REC-0090,EMP-61214,Power & Water Planning,Deep Technical & LLMOps,21.3,94.3,Predictive Machine Learning,Smart Load Forecasting,None,None,Fully Deployed,32.0,104200.0,89.0
REC-0091,EMP-71228,Finance,AI for Leaders,47.7,92.1,Agentic AI Workflows,Invoice Matcher Agent,None,None,Fully Deployed,25.4,176800.0,96.9
REC-0092,EMP-58984,Business Development & Execution,Deep Technical & LLMOps,14.8,50.2,Generative AI (LLMs),AI Bid Evaluator,RIT Dubai,Sponsored Capstone,Fully Deployed,40.1,28600.0,57.4
REC-0093,EMP-50774,Power & Water Planning,AI Literacy,66.4,78.4,Predictive Machine Learning,Smart Load Forecasting,None,None,Development,9.8,10900.0,21.4
REC-0094,EMP-12568,Finance,AI Literacy,12.1,92.0,Agentic AI Workflows,Invoice Matcher Agent,RIT Dubai,Reverse Hackathon,Development,9.2,76100.0,19.7
REC-0095,EMP-72592,Finance,Deep Technical & LLMOps,40.8,100.0,Agentic AI Workflows,Automated Audit Reconciliation,MBZUAI,Sponsored Capstone,UAT & Testing,24.2,98400.0,48.1
REC-0096,EMP-77563,I&TF,AI for Leaders,23.7,90.1,Agentic AI Workflows,Cognitive Cyber Defense,None,None,Development,12.6,54500.0,18.9
REC-0097,EMP-12695,Legal Affairs,Deep Technical & LLMOps,16.9,75.4,Generative AI (LLMs),Contract Compliance Parser,MBZUAI,Reverse Hackathon,Ideation,6.6,5000.0,0.0
REC-0098,EMP-58190,Finance,Deep Technical & LLMOps,30.1,85.4,Agentic AI Workflows,Invoice Matcher Agent,Heriot-Watt University,Joint R&D Lab,UAT & Testing,19.8,56300.0,57.1
REC-0099,EMP-15258,Finance,AI Literacy,10.0,76.8,Agentic AI Workflows,Invoice Matcher Agent,MBZUAI,Sponsored Capstone,UAT & Testing,21.1,20700.0,77.8
REC-0100,EMP-97538,Transmission Power,Deep Technical & LLMOps,17.7,84.9,Computer Vision,Thermal Substations Inspection,MBZUAI,Sponsored Capstone,Fully Deployed,23.4,60100.0,78.8
REC-0101,EMP-49504,I&TF,AI for Leaders,16.6,86.6,Agentic AI Workflows,Cognitive Cyber Defense,MBZUAI,Joint R&D Lab,Ideation,4.7,9700.0,0.0
REC-0102,EMP-43159,Water & Civil,Deep Technical & LLMOps,27.8,82.7,Computer Vision,Reservoir Volumetric AI,MBZUAI,Reverse Hackathon,Fully Deployed,25.7,154000.0,74.3
REC-0103,EMP-23986,I&TF,Deep Technical & LLMOps,25.0,79.6,Generative AI (LLMs),Agentic IT Helpdesk,None,None,Ideation,8.9,5600.0,0.0
REC-0104,EMP-71858,Water & Civil,Deep Technical & LLMOps,31.2,93.3,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Fully Deployed,39.8,184200.0,71.9
REC-0105,EMP-22666,Water & Civil,AI Literacy,40.0,80.8,Autonomous IoT & Sensors,Autonomous Leak Detection,Heriot-Watt University,Sponsored Capstone,UAT & Testing,17.4,76600.0,41.1
REC-0106,EMP-48660,I&TF,AI for Leaders,20.8,75.9,Agentic AI Workflows,Cognitive Cyber Defense,None,None,UAT & Testing,19.2,65900.0,70.8
REC-0107,EMP-13561,Finance,Deep Technical & LLMOps,25.9,90.7,Predictive Machine Learning,Supplier Risk Analysis,RIT Dubai,Joint R&D Lab,Fully Deployed,31.0,126700.0,91.2
REC-0108,EMP-36854,Legal Affairs,Deep Technical & LLMOps,53.8,96.4,Generative AI (LLMs),NDA Auto-Review Agent,RIT Dubai,Joint R&D Lab,Development,18.5,211800.0,2.5
REC-0109,EMP-74505,Finance,Deep Technical & LLMOps,25.0,92.5,Predictive Machine Learning,Supplier Risk Analysis,MBZUAI,Sponsored Capstone,Development,13.2,34700.0,45.0
REC-0110,EMP-62251,Distribution Power,AI Literacy,20.1,87.1,Predictive Machine Learning,Grid Recloser Optimizer,None,None,UAT & Testing,18.3,169200.0,36.6
REC-0111,EMP-32662,Distribution Power,AI Literacy,39.9,91.6,Predictive Machine Learning,Grid Recloser Optimizer,Heriot-Watt University,Reverse Hackathon,Development,12.4,61100.0,7.5
REC-0112,EMP-18392,Power & Water Planning,AI for Leaders,21.7,73.5,Predictive Machine Learning,Grid Expansion Planner,None,None,UAT & Testing,13.9,64800.0,41.8
REC-0113,EMP-40535,Distribution Power,Deep Technical & LLMOps,57.3,79.4,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Development,11.8,11400.0,13.3
REC-0114,EMP-88603,Water & Civil,AI Literacy,46.2,65.2,Computer Vision,Reservoir Volumetric AI,None,None,Fully Deployed,25.5,71700.0,90.4
REC-0115,EMP-62256,Legal Affairs,AI Literacy,15.0,90.3,Generative AI (LLMs),NDA Auto-Review Agent,None,None,Fully Deployed,20.9,125900.0,74.3
REC-0116,EMP-99135,Water & Civil,Deep Technical & LLMOps,17.9,83.1,Computer Vision,Reservoir Volumetric AI,None,None,Ideation,9.0,9100.0,0.0
REC-0117,EMP-45222,Finance,AI Literacy,43.4,80.9,Predictive Machine Learning,Supplier Risk Analysis,RIT Dubai,Reverse Hackathon,Fully Deployed,31.8,334200.0,94.5
REC-0118,EMP-87373,Power & Water Planning,Deep Technical & LLMOps,37.7,90.7,Predictive Machine Learning,Smart Load Forecasting,Heriot-Watt University,Sponsored Capstone,Development,9.7,22000.0,53.7
REC-0119,EMP-89575,Legal Affairs,Deep Technical & LLMOps,44.9,76.8,Generative AI (LLMs),Contract Compliance Parser,None,None,Development,6.9,35100.0,36.9
REC-0120,EMP-94651,I&TF,Deep Technical & LLMOps,20.9,94.0,Generative AI (LLMs),AI Developer Copilot,None,None,Development,11.3,60600.0,3.0
REC-0121,EMP-73335,Distribution Power,AI Literacy,24.8,40.3,Agentic AI Workflows,LV Power Restoration,MBZUAI,Joint R&D Lab,Fully Deployed,31.1,94800.0,92.2
REC-0122,EMP-20965,Power & Water Planning,AI Literacy,18.5,72.5,Predictive Machine Learning,Digital Twin Simulation,Heriot-Watt University,Sponsored Capstone,UAT & Testing,23.1,172100.0,42.1
REC-0123,EMP-34538,Transmission Power,Deep Technical & LLMOps,17.9,99.0,Computer Vision,Overhead Line Monitoring,None,None,Fully Deployed,26.3,49600.0,76.4
REC-0124,EMP-80592,Water & Civil,Deep Technical & LLMOps,12.3,61.3,Computer Vision,Reservoir Volumetric AI,Heriot-Watt University,Reverse Hackathon,Ideation,3.9,5000.0,0.0
REC-0125,EMP-18110,Legal Affairs,Deep Technical & LLMOps,42.2,94.7,Generative AI (LLMs),Contract Compliance Parser,MBZUAI,Joint R&D Lab,Optimizing,26.5,117800.0,94.5
REC-0126,EMP-89309,Water & Civil,AI Literacy,27.6,85.5,Computer Vision,Reservoir Volumetric AI,None,None,Fully Deployed,30.7,111900.0,94.5
REC-0127,EMP-37266,Water & Civil,AI for Leaders,29.7,90.0,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,Development,6.0,47000.0,1.2
REC-0128,EMP-62992,Power & Water Planning,Deep Technical & LLMOps,43.7,93.3,Predictive Machine Learning,Smart Load Forecasting,None,None,Fully Deployed,27.2,132300.0,77.9
REC-0129,EMP-92948,I&TF,Deep Technical & LLMOps,10.0,57.3,Generative AI (LLMs),AI Developer Copilot,None,None,UAT & Testing,22.5,57000.0,44.3
REC-0130,EMP-16910,Distribution Power,Deep Technical & LLMOps,27.7,93.4,Predictive Machine Learning,Grid Recloser Optimizer,None,None,Ideation,2.5,5000.0,0.0
REC-0131,EMP-10206,Power & Water Planning,Deep Technical & LLMOps,47.7,83.3,Predictive Machine Learning,Digital Twin Simulation,MBZUAI,Sponsored Capstone,Development,15.0,35900.0,2.8
REC-0132,EMP-97054,Transmission Power,Deep Technical & LLMOps,10.0,86.7,Computer Vision,Insulator Wear Classifier,RIT Dubai,Joint R&D Lab,Ideation,6.7,5000.0,0.0
REC-0133,EMP-97897,I&TF,AI Literacy,44.2,84.3,Agentic AI Workflows,Cognitive Cyber Defense,None,None,Fully Deployed,37.7,125300.0,75.5
REC-0134,EMP-33419,I&TF,AI for Leaders,28.0,95.2,Generative AI (LLMs),AI Developer Copilot,None,None,UAT & Testing,20.0,32500.0,29.4
REC-0135,EMP-60636,I&TF,AI Literacy,27.9,98.7,Generative AI (LLMs),AI Developer Copilot,MBZUAI,Reverse Hackathon,Development,11.7,53500.0,7.4
REC-0136,EMP-60015,Finance,AI for Leaders,29.3,91.2,Agentic AI Workflows,Automated Audit Reconciliation,None,None,Ideation,5.6,37500.0,0.0
REC-0137,EMP-64268,Distribution Power,AI for Leaders,10.0,71.6,Agentic AI Workflows,SCADA Fault Routing,None,None,UAT & Testing,25.3,44200.0,34.6
REC-0138,EMP-97939,Water & Civil,AI Literacy,10.0,91.3,Autonomous IoT & Sensors,Autonomous Leak Detection,Heriot-Watt University,Reverse Hackathon,UAT & Testing,24.9,28700.0,49.7
REC-0139,EMP-28141,Water & Civil,AI for Leaders,40.2,76.6,Computer Vision,Structural Crack Inspection,RIT Dubai,Reverse Hackathon,Fully Deployed,22.0,295900.0,74.1
REC-0140,EMP-90356,Business Development & Execution,AI Literacy,10.0,91.6,Generative AI (LLMs),Market Feasibility Generator,MBZUAI,Sponsored Capstone,Optimizing,26.8,608700.0,96.9
REC-0141,EMP-81910,Legal Affairs,Deep Technical & LLMOps,16.7,95.3,Generative AI (LLMs),Regulatory Risk Analyzer,None,None,UAT & Testing,15.8,29200.0,22.7
REC-0142,EMP-66044,Finance,Deep Technical & LLMOps,69.6,93.1,Agentic AI Workflows,Invoice Matcher Agent,None,None,UAT & Testing,22.9,73400.0,32.1
REC-0143,EMP-77214,Billing,AI Literacy,22.5,96.3,Generative AI (LLMs),Generative Bill Explanation,Heriot-Watt University,Joint R&D Lab,Development,10.0,58300.0,22.5
REC-0144,EMP-43827,Distribution Power,Deep Technical & LLMOps,31.5,95.2,Agentic AI Workflows,LV Power Restoration,None,None,Fully Deployed,30.8,96200.0,39.2
REC-0145,EMP-65820,Finance,AI for Leaders,12.8,83.6,Agentic AI Workflows,Automated Audit Reconciliation,None,None,Development,17.1,9700.0,17.2
REC-0146,EMP-72623,Power & Water Planning,AI Literacy,47.9,74.2,Predictive Machine Learning,Grid Expansion Planner,None,None,Development,15.4,13200.0,17.2
REC-0147,EMP-91734,Water & Civil,AI Literacy,10.0,59.9,Computer Vision,Structural Crack Inspection,None,None,Fully Deployed,40.3,43000.0,80.6
REC-0148,EMP-85450,Transmission Power,Deep Technical & LLMOps,41.6,92.2,Computer Vision,Overhead Line Monitoring,Heriot-Watt University,Sponsored Capstone,Ideation,3.6,5000.0,0.0
REC-0149,EMP-32299,Distribution Power,Deep Technical & LLMOps,10.0,93.9,Agentic AI Workflows,SCADA Fault Routing,None,None,Development,3.7,42300.0,15.6
REC-0150,EMP-53585,Power & Water Planning,Deep Technical & LLMOps,60.9,88.7,Predictive Machine Learning,Smart Load Forecasting,MBZUAI,Sponsored Capstone,Fully Deployed,29.6,285100.0,54.1
REC-0151,EMP-74044,Water & Civil,AI Literacy,34.7,88.1,Computer Vision,Reservoir Volumetric AI,None,None,Development,7.7,13300.0,38.7
REC-0152,EMP-52557,Billing,AI Literacy,10.0,88.2,Generative AI (LLMs),Generative Bill Explanation,MBZUAI,Sponsored Capstone,Development,6.2,21100.0,9.0
REC-0153,EMP-59080,Transmission Power,AI for Leaders,23.4,96.4,Computer Vision,Insulator Wear Classifier,None,None,UAT & Testing,24.5,32500.0,46.0
REC-0154,EMP-12693,Power & Water Planning,AI Literacy,33.8,85.1,Predictive Machine Learning,Digital Twin Simulation,None,None,UAT & Testing,16.4,99500.0,16.4
